,Pclass,Sex,Age,SibSp,Parch,Survived
578,3,0,28,1,0,0
579,3,1,32,0,0,1
580,2,0,25,1,1,1
581,1,0,39,1,1,1
582,2,1,54,0,0,0
583,1,1,36,0,0,0
584,3,1,28,0,0,0
585,1,0,18,0,2,1
586,2,1,47,0,0,0
587,1,1,60,1,1,1
588,3,1,22,0,0,0
589,3,1,28,0,0,0
590,3,1,35,0,0,0
591,1,0,52,1,0,1
592,3,1,47,0,0,0
593,3,0,28,0,2,0
594,2,1,37,1,0,0
595,3,1,36,1,1,0
596,2,0,28,0,0,1
597,3,1,49,0,0,0
598,3,1,28,0,0,0
599,1,1,49,1,0,1
600,2,0,24,2,1,1
601,3,1,28,0,0,0
602,1,1,28,0,0,0
603,3,1,44,0,0,0
604,1,1,35,0,0,1
605,3,1,36,1,0,0
606,3,1,30,0,0,0
607,1,1,27,0,0,1
608,2,0,22,1,2,1
609,1,0,40,0,0,1
610,3,0,39,1,5,0
611,3,1,28,0,0,0
612,3,0,28,1,0,1
613,3,1,28,0,0,0
614,3,1,35,0,0,0
615,2,0,24,1,2,1
616,3,1,34,1,1,0
617,3,0,26,1,0,0
618,2,0,4,2,1,1
619,2,1,26,0,0,0
620,3,1,27,1,0,0
621,1,1,42,1,0,1
622,3,1,20,1,1,1
623,3,1,21,0,0,0
624,3,1,21,0,0,0
625,1,1,61,0,0,0
626,2,1,57,0,0,0
627,1,0,21,0,0,1
628,3,1,26,0,0,0
629,3,1,28,0,0,0
630,1,1,80,0,0,1
631,3,1,51,0,0,0
632,1,1,32,0,0,1
633,1,1,28,0,0,0
634,3,0,9,3,2,0
635,2,0,28,0,0,1
636,3,1,32,0,0,0
637,2,1,31,1,1,0
638,3,0,41,0,5,0
639,3,1,28,1,0,0
640,3,1,20,0,0,0
641,1,0,24,0,0,1
642,3,0,2,3,2,0
643,3,1,28,0,0,1
644,3,0,0,2,1,1
645,1,1,48,1,0,1
646,3,1,19,0,0,0
647,1,1,56,0,0,1
648,3,1,28,0,0,0
649,3,0,23,0,0,1
650,3,1,28,0,0,0
651,2,0,18,0,1,1
652,3,1,21,0,0,0
653,3,0,28,0,0,1
654,3,0,18,0,0,0
655,2,1,24,2,0,0
656,3,1,28,0,0,0
657,3,0,32,1,1,0
658,2,1,23,0,0,0
659,1,1,58,0,2,0
660,1,1,50,2,0,1
661,3,1,40,0,0,0
662,1,1,47,0,0,0
663,3,1,36,0,0,0
664,3,1,20,1,0,1
665,2,1,32,2,0,0
666,2,1,25,0,0,0
667,3,1,28,0,0,0
668,3,1,43,0,0,0
669,1,0,28,1,0,1
670,2,0,40,1,1,1
671,1,1,31,1,0,0
672,2,1,70,0,0,0
673,2,1,31,0,0,1
674,2,1,28,0,0,0
675,3,1,18,0,0,0
676,3,1,24,0,0,0
677,3,0,18,0,0,1
678,3,0,43,1,6,0
679,1,1,36,0,1,1
680,3,0,28,0,0,0
681,1,1,27,0,0,1
682,3,1,20,0,0,0
683,3,1,14,5,2,0
684,2,1,60,1,1,0
685,2,1,25,1,2,0
686,3,1,14,4,1,0
687,3,1,19,0,0,0
688,3,1,18,0,0,0
689,1,0,15,0,1,1
690,1,1,31,1,0,1
691,3,0,4,0,1,1
692,3,1,28,0,0,1
693,3,1,25,0,0,0
694,1,1,60,0,0,0
695,2,1,52,0,0,0
696,3,1,44,0,0,0
697,3,0,28,0,0,1
698,1,1,49,1,1,0
699,3,1,42,0,0,0
700,1,0,18,1,0,1
701,1,1,35,0,0,1
702,3,0,18,0,1,0
703,3,1,25,0,0,0
704,3,1,26,1,0,0
705,2,1,39,0,0,0
706,2,0,45,0,0,1
707,1,1,42,0,0,1
708,1,0,22,0,0,1
709,3,1,28,1,1,1
710,1,0,24,0,0,1
711,1,1,28,0,0,0
712,1,1,48,1,0,1
713,3,1,29,0,0,0
714,2,1,52,0,0,0
715,3,1,19,0,0,0
716,1,0,38,0,0,1
717,2,0,27,0,0,1
718,3,1,28,0,0,0
719,3,1,33,0,0,0
720,2,0,6,0,1,1
721,3,1,17,1,0,0
722,2,1,34,0,0,0
723,2,1,50,0,0,0
724,1,1,27,1,0,1
725,3,1,20,0,0,0
726,2,0,30,3,0,1
727,3,0,28,0,0,1
728,2,1,25,1,0,0
729,3,0,25,1,0,0
730,1,0,29,0,0,1
731,3,1,11,0,0,0
732,2,1,28,0,0,0
733,2,1,23,0,0,0
734,2,1,23,0,0,0
735,3,1,28,0,0,0
736,3,0,48,1,3,0
737,1,1,35,0,0,1
738,3,1,28,0,0,0
739,3,1,28,0,0,0
740,1,1,28,0,0,1
741,1,1,36,1,0,0
742,1,0,21,2,2,1
743,3,1,24,1,0,0
744,3,1,31,0,0,1
745,1,1,70,1,1,0
746,3,1,16,1,1,0
747,2,0,30,0,0,1
748,1,1,19,1,0,0
749,3,1,31,0,0,0
750,2,0,4,1,1,1
751,3,1,6,0,1,1
752,3,1,33,0,0,0
753,3,1,23,0,0,0
754,2,0,48,1,2,1
755,2,1,0,1,1,1
756,3,1,28,0,0,0
757,2,1,18,0,0,0
758,3,1,34,0,0,0
759,1,0,33,0,0,1
760,3,1,28,0,0,0
761,3,1,41,0,0,0
762,3,1,20,0,0,1
763,1,0,36,1,2,1
764,3,1,16,0,0,0
765,1,0,51,1,0,1
766,1,1,28,0,0,0
767,3,0,30,0,0,0
768,3,1,28,1,0,0
769,3,1,32,0,0,0
770,3,1,24,0,0,0
771,3,1,48,0,0,0
772,2,0,57,0,0,0
773,3,1,28,0,0,0
774,2,0,54,1,3,1
775,3,1,18,0,0,0
776,3,1,28,0,0,0
777,3,0,5,0,0,1
778,3,1,28,0,0,0
779,1,0,43,0,1,1
780,3,0,13,0,0,1
781,1,0,17,1,0,1
782,1,1,29,0,0,0
783,3,1,28,1,2,0
784,3,1,25,0,0,0
785,3,1,25,0,0,0
786,3,0,18,0,0,1
787,3,1,8,4,1,0
788,3,1,1,1,2,1
789,1,1,46,0,0,0
790,3,1,28,0,0,0
791,2,1,16,0,0,0
792,3,0,28,8,2,0
793,1,1,28,0,0,0
794,3,1,25,0,0,0
795,2,1,39,0,0,0
796,1,0,49,0,0,1
797,3,0,31,0,0,1
798,3,1,30,0,0,0
799,3,0,30,1,1,0
800,2,1,34,0,0,0
801,2,0,31,1,1,1
802,1,1,11,1,2,1
803,3,1,0,0,1,1
804,3,1,27,0,0,1
805,3,1,31,0,0,0
806,1,1,39,0,0,0
807,3,0,18,0,0,0
808,2,1,39,0,0,0
809,1,0,33,1,0,1
810,3,1,26,0,0,0
811,3,1,39,0,0,0
812,2,1,35,0,0,0
813,3,0,6,4,2,0
814,3,1,30,0,0,0
815,1,1,28,0,0,0
816,3,0,23,0,0,0
817,2,1,31,1,1,0
818,3,1,43,0,0,0
819,3,1,10,3,2,0
820,1,0,52,1,1,1
821,3,1,27,0,0,1
822,1,1,38,0,0,0
823,3,0,27,0,1,1
824,3,1,2,4,1,0
825,3,1,28,0,0,0
826,3,1,28,0,0,0
827,2,1,1,0,2,1
828,3,1,28,0,0,1
829,1,0,62,0,0,1
830,3,0,15,1,0,1
831,2,1,0,1,1,1
832,3,1,28,0,0,0
833,3,1,23,0,0,0
834,3,1,18,0,0,0
835,1,0,39,1,1,1
836,3,1,21,0,0,0
837,3,1,28,0,0,0
838,3,1,32,0,0,1
839,1,1,28,0,0,1
840,3,1,20,0,0,0
841,2,1,16,0,0,0
842,1,0,30,0,0,1
843,3,1,34,0,0,0
844,3,1,17,0,0,0
845,3,1,42,0,0,0
846,3,1,28,8,2,0
847,3,1,35,0,0,0
848,2,1,28,0,1,0
849,1,0,28,1,0,1
850,3,1,4,4,2,0
851,3,1,74,0,0,0
852,3,0,9,1,1,0
853,1,0,16,0,1,1
854,2,0,44,1,0,0
855,3,0,18,0,1,1
856,1,0,45,1,1,1
857,1,1,51,0,0,1
858,3,0,24,0,3,1
859,3,1,28,0,0,0
860,3,1,41,2,0,0
861,2,1,21,1,0,0
862,1,0,48,0,0,1
863,3,0,28,8,2,0
864,2,1,24,0,0,0
865,2,0,42,0,0,1
866,2,0,27,1,0,1
867,1,1,31,0,0,0
868,3,1,28,0,0,0
869,3,1,4,1,1,1
870,3,1,26,0,0,0
871,1,0,47,1,1,1
872,1,1,33,0,0,0
873,3,1,47,0,0,0
874,2,0,28,1,0,1
875,3,0,15,0,0,1
876,3,1,20,0,0,0
877,3,1,19,0,0,0
878,3,1,28,0,0,0
879,1,0,56,0,1,1
880,2,0,25,0,1,1
881,3,1,33,0,0,0
882,3,0,22,0,0,0
883,2,1,28,0,0,0
884,3,1,25,0,0,0
885,3,0,39,0,5,0
886,2,1,27,0,0,0
887,1,0,19,0,0,1
888,3,0,28,1,2,0
889,1,1,26,0,0,1
890,3,1,32,0,0,0
